,Número de registro,Outros números,Denominação,Resumo descritivo,Título,Autor,Material/Técnica,Local de produção,Data de produção,Classificação,Estado de conservação,Dimensões - altura,Dimensões - largura,Dimensões - profundidade/comprimento,Dimensões - diâmetro,Dimensões - peso,Condições de reprodução
0,6199,,Pintura histórica,"Cena retratando a chegada da Fragata Constituição em mar com tons esverdeados. Em primeiro plano, à direita, pequena embarcação com casco verde, branco e rosa, ao largo com bandeira verde e amarela e armas imperiais hasteada; no interior, grande número de marinheiros remam. Na pop, carranca dourada retratando animal alado. No convés, dois oficiais e um deles sustenta bandeira verde e amarela. À esquerda, pequenos barcos com grande quantidade de pessoas - entre crianças, mulheres e homens, civis e militares. Várias bandeiras hasteadas. À frente, pequeno barco a remo tendo no casco o nº 180 marcado. Os populares expressam ar alegre, os senhores acenam com cartolas e mulheres com lenços aclamam com grande movimentação a fragata que se encontra em segundo plano, ao centro, com proa à frente. Apresenta casco marrom com tarja branca, com bateria corrida rodeada por grande quantidade de fumaça. Os mastros se encontram ornados com grande número de bandeirolas nas cores vermelha, azul e branca; sobre este, soldados com fardas azuis e brancas, de pé, frontalizados, acenam. No convés, pessoas acenam, tendo à frente figura masculina fardada. Seguem atrás desta fragata outras embarcações de grande porte. Ao fundo, à direita, em terra firme, fortaleza na cor branca, com bandeira hasteada, dispara tiros retratados em branco. Céu azul escuro com nuvens. Assinatura do autor e datação no anto inferior esquerdo: E. de Martino/1872. Moldura em madeira dourada, tendo na parte inferior, ao centro, a inscrição: Chegada da Fragata Constituição ao Rio de Janeiro, trazendo a Imperatriz Teresa Cristina. Na parte superior, ao centro, armas imperiais.",Chegada da Fragata Constituição ao Rio de Janeiro,Edoardo De Martino,óleo | tela,Brasil,1872,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Bom,257,490,0.0,,0.0,"Domínio público, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
1,6215,,Pintura histórica,"Cena de batalha naval retratada em um mar de águas calmas com pequenas ondas, observam-se pontos brancos respingando nas águas e reflexos de tiros disparados. Em primeiro plano, ao centro, escaler com um homem no seu interior com trajes brancos socorrendo vários soldados feridos no mar. À esquerda, destaca-se embarcação de grande porte com bandeira branca e azul hasteada, no casco a inscrição: SARANDI. Grupo de marinheiros descem com o escaler para ajudar vários homens que se encontram no mar. Na extremidade do convés, almirante com barba branca direciona luneta para observar navio que está à direita com bandeira brasileira hasteada. Veem-se nos mastros homens e no convés soldados em combate. A sua frente, pequena embarcação a remo com figura masculina hasteando bandeira azul e branca, vários homens que se encontram feridos no mar penetram no barco. Ao fundo, à esquerda e à direita, várias embarcações com soldados. À direita, fortificação branca com bandeira hasteada. Céu azul claro com nuvens brancas. Assinatura do autor e datação no canto inferior esquerdo: E. De Martino/PINXIX/1873. Moldura em madeira dourada tendo na parte inferior, ao centro, reserva oval com a inscrição: Abordagem da Corveta Maceió/18 de junho de 1827.",Abordagem da corveta Maceió e da escuna Dois de Dezembro,Edoardo De Martino,óleo | tela,Brasil,1873,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Bom,291.5,221.5,0.0,,0.0,"Domínio público, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
2,6216,,Pintura histórica,"Cena de batalha naval. Em primeiro plano, à esquerda, morro com terra avermelhada com vários homens em combate, tendo ao lado mortos e feridos, e outros no mar aproximando-se da margem. No alto do morro, grupo de soldados hasteando bandeira do Paraguai nas cores vermelha, azul e branca. Ao centro, grande embarcação mista, ao largo, com casco negro, três mastros e chaminé central, bandeira brasileira hasteada. Grupos de soldados encontra-se no cesto de gávea e outros no convés em combate. Ao seu lado esquerdo, barco adornado com bandeira paraguaia, atirando contra a embarcação acima citada. Alguns homens jogam-se ao mar e, perto destes, escaler na água com soldados. À direita, embarcação com proa à frente com bandeira brasileira hasteada. No convés, vários soldados movimentam-se. Chaminé expelindo grande quantidade de fumaça marrom e grandes nuvens brancas retratando tirando. Ao fundo, à direita, algumas embarcações e grande quantidade de fumaça branca. Assinatura do autor e datação no canto inferior esquerdo: E. De Martino/Fecit, 1870. Moldura em madeira dourada, na parte inferior, ao centro, cartela com a inscrição: COMBATE NAVAL DO RIACHUELO/II DE JUNHO DE 1865.",Combate naval do Riachuelo,Edoardo De Martino,óleo | tela,Brasil,1870,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Bom,172.5,257,0.0,,0.0,"Domínio público, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
3,6218,,Pintura histórica,"Em primeiro plano, mar azul. À esquerda, embarcação com casco marrom e três mastros com cesta de gávea. Velas arriadas, dois escaleres e bandeira na cor verde. À direita, pequena embarcação a vapor ao largo com casco marrom, observam-se duas figuras no seu interior, uma delas carrega pequena vara de pescar. Em segundo plano, à direita, ilha com casa rosa com telhado de duas águas azuis, à frente bandeira azul presa ao mastro. Ao fundo, à margem, casario e recortes de montanhas. Céu amarelado com nuvens rosadas. Assinatura do autor no canto inferior esquerdo: E. D. M.. Tela oval com moldura em madeira dourada.",Vapor Marquês de Olinda em Assunção,Edoardo De Martino,óleo | tela,Brasil,[187-],02 Artes Visuais/Cinematográfica > 02.6 Pintura,Bom,78,6,94.0,,0.0,"Domínio público, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
4,6350,,Pintura histórica,"Cena retratada ao anoitecer. Em primeiro plano, à esquerda, acampamento com barracas iluminadas por fogueiras e grupos de pessoas, algumas dessas ajoelhadas ao chão ao redor de vários corpos humanos feridos. Ao centro, dois homens com hábitos de religiosos. À direita, rio com reflexo da lua em suas águas. À margem, dois homens a cavalo. Do outro lado da margem, casario iluminado no seu interior e vegetação com palmeiras. Céu azul escuro com nuvens e lua à direita. Assinatura do autor e datação/local (?) ilegível no canto inferior direito em tinta vermelha: E. De Martino/........ Moldura dourada.",Acampamento brasileiro no Chaco,Edoardo De Martino,óleo | tela,Brasil,[1871],02 Artes Visuais/Cinematográfica > 02.6 Pintura,Bom,150,249.1,0.0,,0.0,"Domínio público, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
5,6393,,Pintura histórica,"Em primeiro plano, mar com pequenas ondas em verde escuro. Ao centro, ao largo, fragata com velas brancas enfunadas, casco na cor cinza, escaleres brancos. Ao centro, duas chaminés expelindo fumaça negra. No convés, vários homens em movimento. À direita, ao longe, observa-se embarcação com bandeira brasileira hasteada Ao redor da embarcação, pequeno grupo de gaivotas brancas. Céu azul com nuvens brancas e cinzas. Assinatura do autor no canto inferior direito: Edourar... De Ma....",Fragata Independência,Edoardo De Martino,óleo | tela,Brasil,18--,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Bom,71,116,0.0,,0.0,"Domínio público, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
6,6407,,Pintura histórica,"Cena retratada ao anoitecer à beira mar. No primeiro plano dois cavalheiros conversam e um deles aponta com a mão direita para o forte que se vê à direita, com dois sentinelas sobre os muros; à esquerda, um barco sobre a praia rochosa, de vela içada, notando-se à sua esquerda o reflexo de uma fogueira. Ao fundo fundeada no porto, a esquadra brasileira.",Noite de luar em Montevidéu,Edoardo De Martino,óleo | tela,Brasil,18--,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Bom,127,188.5,0.0,,0.0,"Domínio público, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
7,6432,,Pintura histórica,"Em primeiro plano, à esquerda, embarcações de pequeno porte com homens a bordo, alguns empunhando espadas, outros caindo na água, em direção a duas embarcações de maior porte. À direita, mata ciliar com troncos e galhos dentro do rio. No centro da tela, encouraçado com poucos homens a bordo sendo abordado de todos os ângulos por embarcações de pequeno porte; à esquerda do encouraçado, chamas de fogo. Ao fundo, vegetação de mata ciliar frondosa, e, à direita, no rio encapelado, outro encouraçado em direção à cena principal e, atrás de si, luminosidade sob névoa sugerindo chamas de fogo. Céu azul escuro acinzentado com lua cheia iluminando a cena e refletindo na água do rio e nas nuvens. Assinatura do autor no canto direito inferior em tinta vermelha: E. De Martino.",Abordagem dos encouraçados Cabral e Lima Barros,Edoardo De Martino,óleo | tela,Brasil,18--,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Bom,190,335,0.0,,0.0,"Domínio público, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
8,6466,,Pintura histórica,"Cena retratando batalha naval. Em primeiro plano, mar revolto. À esquerda, com a bandeira imperial brasileira no alto do mastro e a bandeira argentina arriada, a Corveta General Dorrego aprisionada, seguida de La Bertioga, e, à direita, a escuna Rio da Prata. Na linha do horizonte, duas embarcações não identificadas. Assinatura do autor no canto inferior direito: E. de Martino. Moldura em madeira dourada.",Rendição da Corveta General Dorrego,Edoardo De Martino,óleo | tela,Brasil,18--,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Bom,143,214,0.0,,0.0,"Direitos reservados, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
9,6481,,Pintura histórica,"Cena de batalha naval ao anoitecer. Céu azul escuro, tendo à direita lua branca com nuvens ao redor e luar refletido nas águas do mar. Em primeiro plano, ao centro, escaler com homem em seu interior socorrendo vários soldados feridos ao redor do barco. À esquerda, homem ferido se apóia em destroços jogados ao mar, tendo ao lado tiros de canhão retratados em pontos brancos. Em segundo plano, ao centro, duas embarcações de grande porte encontram-se em batalha. A embarcação da esquerda está ancorada, com bandeira brasileira hasteada, e apresenta bateria corrida de canhões; ao redor do casco, vários homens tentam salvar-se apoiando em cordas. No convés, soldados em combate atiram em direção a outra embarcação à direita, com bandeira branca e azul hasteada; ao redor do casco, homens duelam com espadas. Entre as duas embarcações, grande quantidade de fumaça em vermelho. Ao redor e ao fundo, outras embarcações. Ao fundo e à direita, ilha com farol. Assinatura do autor no canto inferior esquerdo: E. de Martino. Moldura em madeira dourada, tendo a inscrição na parte inferior ao centro: Abordagem da Fragata Imperatriz/26 de Abril de 1826.",Abordagem da Fragata Imperatriz,Edoardo De Martino,óleo | tela,Brasil,[1875],02 Artes Visuais/Cinematográfica > 02.6 Pintura,Regular,219,291,0.0,,0.0,"Domínio público, ver http://mhn.acervos.museus.gov.br/uso-de-imagem/"
